Date,Open,High,Low,Close,Adj Close,Volume
2022-03-29,41.340000,41.360001,40.619999,40.619999,37.600498,198834
2022-03-30,41.200001,41.200001,40.400002,40.480000,37.470905,52223
2022-03-31,40.939999,41.099998,40.720001,40.900002,37.859688,125884
2022-04-01,40.900002,40.939999,40.619999,40.799999,37.767117,26673
2022-04-04,40.799999,40.900002,40.360001,40.360001,37.359825,44056
2022-04-05,40.599998,40.779999,40.340000,40.459999,37.452393,40321
2022-04-06,40.400002,40.439999,39.840000,39.919998,36.952530,56487
2022-04-07,39.980000,40.180000,39.400002,39.799999,36.841454,38764
2022-04-08,39.799999,39.939999,39.439999,39.540001,36.600780,46218
2022-04-11,39.700001,40.040001,39.619999,40.040001,37.063614,32945
2022-04-12,40.040001,40.099998,39.680000,39.900002,36.934021,20897
2022-04-13,40.080002,40.080002,39.660000,40.000000,37.026588,21744
2022-04-14,40.000000,40.000000,39.599998,39.599998,36.656319,19794
2022-04-15,null,null,null,null,null,null
2022-04-18,null,null,null,null,null,null
2022-04-19,39.599998,39.880001,39.400002,39.860001,36.896996,48021
2022-04-20,39.860001,40.020000,39.500000,39.500000,36.563755,16626
2022-04-21,39.599998,39.860001,38.860001,38.860001,35.971329,76148
2022-04-22,39.040001,39.119999,38.220001,38.220001,35.378906,84936
2022-04-25,38.520000,38.520000,37.299999,37.380001,34.601345,119239
2022-04-26,37.500000,38.299999,37.500000,38.299999,35.452957,40145
2022-04-27,38.240002,38.799999,37.900002,38.799999,35.915787,37285
2022-04-28,38.799999,38.840000,38.200001,38.580002,35.712143,29287
2022-04-29,38.200001,38.880001,38.200001,38.759998,35.878761,23744
2022-05-02,38.639999,39.000000,38.000000,39.000000,36.100922,37257
2022-05-03,null,null,null,null,null,null
2022-05-04,39.000000,39.060001,38.360001,38.619999,35.749168,31143
2022-05-05,39.000000,39.160000,38.139999,38.259998,35.415928,72649
2022-05-06,38.200001,38.200001,37.099998,37.500000,34.712425,171519
2022-05-09,37.500000,38.000000,36.900002,37.000000,34.249592,73808
2022-05-10,37.060001,37.480000,36.580002,36.599998,33.879326,129600
2022-05-11,36.720001,37.380001,36.320000,36.799999,34.064461,184695
2022-05-12,37.320000,37.320000,36.500000,36.959999,34.212566,57083
2022-05-13,36.799999,37.880001,36.799999,37.880001,35.064178,42512
2022-05-16,38.560001,38.700001,37.680000,38.200001,35.360390,48447
2022-05-17,38.340000,38.480000,37.860001,38.200001,35.360390,50925
2022-05-18,38.200001,38.439999,37.639999,37.680000,34.879044,47191
2022-05-19,37.500000,37.599998,36.900002,37.220001,34.453239,45994
2022-05-20,37.500000,38.200001,37.240002,38.180000,35.341877,35071
2022-05-23,38.580002,38.639999,38.099998,38.500000,35.638088,50073
2022-05-24,38.599998,38.619999,38.000000,38.400002,35.545525,56981
2022-05-25,38.400002,38.480000,37.639999,37.740002,34.934586,36133
2022-05-26,37.799999,38.080002,37.400002,37.619999,34.823505,40335
2022-05-27,38.000000,38.180000,37.799999,38.000000,35.175259,36675
2022-05-30,38.400002,38.639999,37.939999,38.639999,35.767681,34525
2022-05-31,38.619999,39.060001,38.020000,38.020000,35.193771,70642
2022-06-01,38.580002,38.580002,37.840000,37.880001,35.064178,46210
2022-06-02,38.000000,38.139999,37.700001,37.700001,34.897560,96740
2022-06-03,38.500000,38.540001,37.720001,37.759998,34.953094,39148
2022-06-06,38.160000,38.459999,37.820000,38.299999,35.452957,55556
2022-06-07,38.279999,38.299999,37.880001,38.000000,35.175259,66508
2022-06-08,38.080002,38.080002,37.520000,37.919998,35.101204,45136
2022-06-09,37.959999,38.119999,37.520000,37.759998,34.953094,33417
2022-06-10,37.500000,37.680000,37.320000,37.400002,34.619862,49317
2022-06-13,37.200001,37.340000,36.299999,36.400002,33.694195,124134
2022-06-14,36.700001,37.700001,36.400002,37.459999,34.675396,128024
2022-06-15,37.400002,37.459999,36.720001,37.360001,34.582832,37041
2022-06-16,null,null,null,null,null,null
2022-06-17,37.200001,37.200001,35.740002,35.740002,33.083256,204764
2022-06-20,36.099998,36.980000,36.099998,36.520000,33.805275,44389
2022-06-21,36.759998,37.000000,36.540001,36.740002,34.008923,49811
2022-06-22,36.759998,36.860001,36.500000,36.820000,34.082973,52446
2022-06-23,36.820000,36.919998,36.599998,36.599998,33.879326,58576
2022-06-24,36.799999,37.240002,36.619999,36.820000,34.082973,64364
2022-06-27,37.000000,37.360001,36.900002,37.240002,34.471752,48491
2022-06-28,37.360001,37.360001,37.000000,37.119999,34.360672,43983
2022-06-29,37.279999,37.459999,37.139999,37.459999,34.675396,50591
2022-06-30,37.700001,37.740002,37.320000,37.560001,34.767967,69529
2022-07-01,37.560001,37.560001,37.020000,37.119999,34.360672,52018
2022-07-04,37.400002,37.419998,37.020000,37.299999,34.527290,29628
2022-07-05,37.340000,37.340000,36.500000,36.799999,34.064461,64342
2022-07-06,37.000000,37.000000,36.459999,36.459999,33.749733,82478
2022-07-07,36.500000,37.220001,36.500000,37.119999,34.360672,49290
2022-07-08,37.119999,37.119999,36.520000,36.880001,34.138515,90344
2022-07-11,36.799999,36.900002,36.580002,36.799999,34.064461,76222
2022-07-12,36.799999,37.020000,36.599998,36.700001,33.971893,66334
2022-07-13,36.799999,36.799999,36.000000,36.240002,33.546089,103921
2022-07-14,36.500000,36.580002,35.820000,36.160000,33.472034,109168
2022-07-15,36.480000,36.480000,35.759998,35.980000,33.305412,88842
